,0
0,65000
1,65000
2,65000
3,65000
4,65030
5,65000
6,65000
7,65000
8,65030
9,65000
10,65000
11,65000
12,65000
13,65000
14,65000
15,65030
16,65000
17,65000
18,65000
19,65000
20,65000
21,65030
22,65030
23,65030
24,65000
25,65000
26,65000
27,65030
28,65030
29,65000
30,65000
31,65000
32,65000
33,65000
34,65000
35,65000
36,65030
37,65000
38,65000
39,65000
40,65030
41,65000
42,65000
43,65000
44,65000
45,65000
46,65000
47,65000
48,65000
49,65000
50,65000
51,65000
52,65000
53,65000
54,65000
55,65000
56,65000
57,65000
58,65000
59,65000
60,65000
61,65000
62,65000
63,65000
64,65000
65,65000
66,65000
67,65000
68,65000
69,65000
70,65000
71,65000
72,65000
73,65000
74,65000
75,65000
76,65000
77,65000
78,65000
79,65000
80,65000
81,65000
82,65000
83,65000
84,65000
85,65000
86,65000
87,65000
88,65000
89,65000
90,65000
91,65000
92,65000
93,65000
94,65000
95,65000
96,65000
97,65000
98,65000
99,65000
100,65000
101,65000
102,65000
103,65000
104,65000
105,65000
106,65000
107,65000
108,65000
109,65000
110,65000
111,65000
112,65000
113,65000
114,65000
115,65000
116,65000
117,65000
118,65000
119,65000
120,65000
121,65000
122,65000
123,65000
124,65000
125,65000
126,65000
127,65000
128,65000
129,65000
130,65000
131,65000
132,65000
133,65000
134,65000
135,65000
136,65000
137,65000
138,65000
139,65000
140,65000
141,65000
142,65000
143,65000
144,65000
145,65000
146,65000
147,65000
148,65000
149,65000
150,65000
151,65000
152,65000
153,65000
154,65000
155,65000
156,65000
157,65000
158,65000
159,65000
160,65000
161,65000
162,65000
163,65000
164,65000
165,65000
166,65000
167,65000
168,65000
169,65000
170,65000
171,65000
172,65000
173,65000
174,65000
175,65000
176,65000
177,65000
178,65000
179,65000
180,65000
181,65000
182,65000
183,65000
184,65000
185,65000
186,65000
187,65000
188,65000
189,65000
190,65000
191,65000
192,65000
193,65000
194,65000
195,65000
196,65000
197,65000
198,65000
199,65000
200,65000
201,65000
202,65000
203,65000
204,65000
205,65000
206,65000
207,65000
208,65000
209,65000
210,65000
211,65000
212,65000
213,65000
214,65000
215,65000
216,65000
217,65000
218,65000
219,65000
220,65000
221,65000
222,65000
223,65000
224,65000
225,65000
226,65000
227,65000
228,65000
229,65000
230,65000
231,65000
232,65000
233,65000
234,65000
235,65000
236,65000
237,65000
238,65000
239,65000
240,65000
241,65000
242,65000
243,65000
244,65000
245,65000
246,65000
247,65000
248,65000
249,65000
250,65000
251,65000
252,65000
253,65000
254,65000
255,65000
256,65000
257,65000
258,65000
259,65000
260,65000
261,65000
262,65000
263,65000
264,65000
265,65000
266,65000
267,65000
268,65000
269,65000
270,65000
271,65000
272,65000
273,65000
274,65000
275,65000
276,65000
277,65000
278,65000
279,65000
280,65000
281,65000
282,65000
283,65000
284,65000
285,65000
286,65000
287,65000
288,65000
289,65000
290,65000
291,65000
292,65000
293,65000
294,65000
295,65000
296,65000
297,65000
298,65000
299,65000
300,65000
301,65000
302,65000
303,65000
304,65000
305,65000
306,65000
307,65000
308,65000
309,65000
310,65000
311,65000
312,65000
313,65000
314,65000
315,65000
316,65000
317,65000
318,65000
319,65000
320,65000
321,65000
322,65000
323,65000
324,65000
325,65000
326,65000
327,65000
328,65000
329,65000
330,65000
331,65000
332,65000
333,65000
334,65000
335,65000
336,65000
337,65000
338,65000
339,65000
340,65000
341,65000
342,65000
343,65000
344,65000
345,65000
346,65000
347,65000
348,65000
349,65000
350,65000
351,65000
352,65000
353,65000
354,65000
355,65000
356,65000
357,65000
358,65000
359,65000
360,65000
361,65000
362,65000
363,65000
364,65000
365,65000
366,65000
367,65000
368,65000
369,65000
370,65000
371,65000
372,65000
373,65000
374,65000
375,65000
376,65000
377,65000
378,65000
379,65000
380,65000
381,65000
382,65000
383,65000
384,65000
385,65000
386,65000
387,65000
388,65000
389,65000
390,65000
391,65000
392,65000
393,65000
394,65000
395,65000
396,65000
397,65000
398,65000
399,65000
400,65000
401,65000
402,65000
403,65000
404,65000
405,65000
406,65000
407,65000
408,65000
409,65000
410,65000
411,65000
412,65000
413,65000
414,65000
415,65000
416,65000
417,65000
418,65000
419,65000
420,65000
421,65000
422,65000
423,65000
424,65000
425,65000
426,65000
427,65000
428,65000
429,65000
430,65000
431,65000
432,65000
433,65000
434,65000
435,65000
436,65000
437,65000
438,65000
439,65000
440,65000
441,65000
442,65000
443,65000
444,65000
445,65000
446,65000
447,65000
448,65000
449,65000
450,65000
451,65000
452,65000
453,65000
454,65000
455,65000
456,65000
457,65000
458,65000
459,65000
460,65000
461,65000
462,65000
463,65000
464,65000
465,65000
466,65000
467,65000
468,65000
469,65000
470,65000
471,65000
472,65000
473,65000
474,65000
475,65000
476,65000
477,65000
478,65000
479,65000
480,65000
481,65000
482,65000
483,65000
484,65000
485,65000
486,65000
487,65000
488,65000
489,65000
490,65000
491,65000
492,65000
493,65000
494,65000
495,65000
496,65000
497,65000
498,65000
499,65000
500,65000
501,65000
502,65000
503,65000
504,65000
505,65000
506,65000
507,65000
508,65000
509,65000
510,65000
511,65000
512,65000
513,65000
514,65000
515,65000
516,65000
517,65000
518,65000
519,65000
520,65000
521,65000
522,65000
523,65000
524,65000
525,65000
526,65000
527,65000
528,65000
529,65000
530,65000
531,65000
532,65000
533,65000
534,65000
535,65000
536,65000
537,65000
538,65000
539,65000
540,65000
541,65000
542,65000
543,65000
544,65000
545,65000
546,65000
547,65000
548,65000
549,65000
550,65000
551,65000
552,65000
553,65000
554,65000
555,65000
556,65000
557,65000
558,65000
559,65000
560,65000
561,65000
562,65000
563,65000
564,65000
565,65000
566,65000
567,65000
568,65000
569,65000
570,65000
571,65000
572,65000
573,65000
574,65000
575,65000
576,65000
577,65000
578,65000
579,65000
580,65000
581,65000
582,65000
583,65000
584,65000
585,65000
586,65000
587,65000
588,65000
589,65000
590,65000
591,65000
592,65000
593,65000
594,65000
595,65000
596,65000
597,65000
598,65000
599,65000
600,65000
601,65000
602,65000
603,65000
604,65000
605,65000
606,65000
607,65000
608,65000
609,65000
610,65000
611,65000
612,65000
613,65000
614,65000
615,65000
616,65000
617,65000
618,65000
619,65000
620,65000
621,65000
622,65000
623,65000
624,65000
625,65000
626,65000
627,65000
628,65000
629,65000
630,65000
631,65000
632,65000
633,65000
634,65000
635,65000
636,65000
637,65000
638,65000
639,65000
640,65000
641,65000
642,65000
643,65000
644,65000
645,65000
646,65000
647,65000
648,65000
649,65000
650,65000
651,65000
652,65000
653,65000
654,65000
655,65000
656,65000
657,65000
658,65000
659,65000
660,65000
661,65000
662,65000
663,65000
664,65000
665,65000
666,65000
667,65000
668,65000
669,65000
670,65000
671,65000
672,65000
673,65000
674,65000
675,65000
676,65000
677,65000
678,65000
679,65000
680,65000
681,65000
682,65000
683,65000
684,65000
685,65000
686,65000
687,65000
688,65000
689,65000
690,65000
691,65000
692,65000
693,65000
694,65000
695,65000
696,65000
697,65000
698,65000
699,65000
700,65000
701,65000
702,65000
703,65000
704,65000
705,65000
706,65000
707,65000
708,65000
709,65000
710,65000
711,65000
712,65000
713,65000
714,65000
715,65000
716,65000
717,65000
718,65000
719,65000
720,65000
721,65000
722,65000
723,65000
724,65000
725,65000
726,65000
727,65000
728,65000
729,65000
730,65000
731,65000
732,65000
733,65000
734,65000
735,65000
736,65000
737,65000
738,65000
739,65000
740,65000
741,65000
742,65000
743,65000
744,65000
745,65000
746,65000
747,65000
748,65000
749,65000
750,65000
751,65000
752,65000
753,65000
754,65000
755,65000
756,65000
757,65000
758,65000
759,65000
760,65000
761,65000
762,65000
763,65000
764,65000
765,65000
766,65000
767,65000
768,65000
769,65000
770,65000
771,65000
772,65000
773,65000
774,65000
775,65000
776,65000
777,65000
778,65000
779,65000
780,65000
781,65000
782,65000
783,65000
784,65000
785,65000
786,65000
787,65000
788,65000
789,65000
790,65000
791,65000
792,65000
793,65000
794,65000
795,65000
796,65000
797,65000
798,65000
799,65000
800,65000
801,65000
802,65000
803,65000
804,65000
805,65000
806,65000
807,65000
808,65000
809,65000
810,65000
811,65000
812,65000
813,65000
814,65000
815,65000
816,65000
817,65000
818,65000
819,65000
820,65000
821,65000
822,65000
823,65000
824,65000
825,65000
826,65000
827,65000
828,65000
829,65000
830,65000
831,65000
832,65000
833,65000
834,65000
835,65000
836,65000
837,65000
838,65000
839,65000
840,65000
841,65000
842,65000
843,65000
844,65000
845,65000
846,65000
847,65000
848,65000
849,65000
850,65000
851,65000
852,65000
853,65000
854,65000
855,65000
856,65000
857,65000
858,65000
859,65000
860,65000
861,65000
862,65000
863,65000
864,65000
865,65000
866,65000
867,65000
868,65000
869,65000
870,65000
871,65000
872,65000
873,65000
874,65000
875,65000
876,65000
877,65000
878,65000
879,65000
880,65000
881,65000
882,65000
883,65000
884,65000
885,65000
886,65000
887,65000
888,65000
889,65000
890,65000
891,65000
892,65000
893,65000
894,65000
895,65000
896,65000
897,65000
898,65000
899,65000
900,65000
901,65000
902,65000
903,65000
904,65000
905,65000
906,65000
907,65000
908,65000
909,65000
910,65000
911,65000
912,65000
913,65000
914,65000
915,65000
916,65000
917,65000
918,65000
919,65000
920,65000
921,65000
922,65000
923,65000
924,65000
925,65000
926,65000
927,65000
928,65000
929,65000
930,65000
931,65000
932,65000
933,65000
934,65000
935,65000
936,65000
937,65000
938,65000
939,65000
940,65000
941,65000
942,65000
943,65000
944,65000
945,65000
946,65000
947,65000
948,65000
949,65000
950,65000
951,65000
952,65000
953,65000
954,65000
955,65000
956,65000
957,65000
958,65000
959,65000
960,65000
961,65000
962,65000
963,65000
964,65000
965,65000
966,65000
967,65000
968,65000
969,65000
970,65000
971,65000
972,65000
973,65000
974,65000
975,65000
976,65000
977,65000
978,65000
979,65000
980,65000
981,65000
982,65000
983,65000
984,65000
985,65000
986,65000
987,65000
988,65000
989,65000
990,65000
991,65000
992,65000
993,65000
994,65000
995,65000
996,65000
997,65000
998,65000
999,65000
1000,65000
1001,65000
1002,65000
1003,65000
1004,65000
1005,65000
1006,65000
1007,65000
1008,65000
1009,65000
1010,65000
1011,65000
1012,65000
1013,65000
1014,65000
1015,65000
1016,65000
1017,65000
1018,65000
1019,65000
1020,65000
1021,65000
1022,65000
1023,65000
1024,65000
1025,65000
1026,65000
1027,65000
1028,65000
1029,65000
1030,65000
1031,65000
1032,65000
1033,65000
1034,65000
1035,65000
1036,65000
1037,65000
1038,65000
1039,65000
1040,65000
1041,65000
1042,65000
1043,65000
1044,65000
1045,65000
1046,65000
1047,65000
1048,65000
1049,65000
1050,65000
1051,65000
1052,65000
1053,65000
1054,65000
1055,65000
1056,65000
1057,65000
1058,65000
1059,65000
1060,65000
1061,65000
1062,65000
1063,65000
1064,65000
1065,65000
1066,65000
1067,65000
1068,65000
1069,65000
1070,65000
1071,65000
1072,65000
1073,65000
1074,65000
1075,65000
1076,65000
1077,65000
1078,65000
1079,65000
1080,65000
1081,65000
1082,65000
1083,65000
1084,65000
1085,65000
1086,65000
1087,65000
1088,65000
1089,65000
1090,65000
1091,65000
1092,65000
1093,65000
1094,65000
1095,65000
1096,65000
1097,65000
1098,65000
1099,65000
1100,65000
1101,65000
1102,65000
1103,65000
1104,65000
1105,65000
1106,65000
1107,65000
1108,65000
1109,65000
1110,65000
1111,65000
1112,65000
1113,65000
1114,65000
1115,65000
1116,65000
1117,65000
1118,65000
1119,65000
1120,65000
1121,65000
1122,65000
1123,65000
1124,65000
1125,65000
1126,65000
1127,65000
1128,65000
1129,65000
1130,65000
1131,65000
1132,65000
1133,65000
1134,65000
1135,65000
1136,65000
1137,65000
1138,65000
1139,65000
1140,65000
1141,65000
1142,65000
1143,65000
1144,65000
1145,65000
1146,65000
1147,65000
1148,65000
1149,65000
1150,65000
1151,65000
1152,65000
1153,65000
1154,65000
1155,65000
1156,65000
1157,65000
1158,65000
1159,65000
1160,65000
1161,65000
1162,65000
1163,65000
1164,65000
1165,65000
1166,65000
1167,65000
1168,65000
1169,65000
1170,65000
1171,65000
1172,65000
1173,65000
1174,65000
1175,65000
1176,65000
1177,65000
1178,65000
1179,65000
1180,65000
1181,65000
1182,65000
1183,65000
1184,65000
1185,65000
1186,65000
1187,65000
1188,65000
1189,65000
1190,65000
1191,65000
1192,65000
1193,65000
1194,65000
1195,65000
1196,65000
1197,65000
1198,65000
1199,65000
1200,65000
1201,65000
1202,65000
1203,65000
1204,65000
1205,65000
1206,65000
1207,65000
1208,65000
1209,65000
1210,65000
1211,65000
1212,65000
1213,65000
1214,65000
1215,65000
1216,65000
1217,65000
1218,65000
1219,65000
1220,65000
1221,65000
1222,65000
1223,65000
1224,65000
1225,65000
1226,65000
1227,65000
1228,65000
1229,65000
1230,65000
1231,65000
1232,65000
1233,65000
1234,65000
1235,65000
1236,65000
1237,65000
1238,65000
1239,65000
1240,65000
1241,65000
1242,65000
1243,65000
1244,65000
1245,65000
1246,65000
1247,65000
1248,65000
1249,65000
1250,65000
1251,65000
1252,65000
1253,65000
1254,65000
1255,65000
1256,65000
1257,65000
1258,65000
1259,65000
1260,65000
1261,65000
1262,65000
1263,65000
1264,65000
1265,65000
1266,65000
1267,65000
1268,65000
1269,65000
1270,65000
1271,65000
1272,65000
1273,65000
1274,65000
1275,65000
1276,65000
1277,65000
1278,65000
1279,65000
1280,65000
1281,65000
1282,65000
1283,65000
1284,65000
1285,65000
1286,65000
1287,65000
1288,65000
1289,65000
1290,65000
1291,65000
1292,65000
1293,65000
1294,65000
1295,65000
1296,65000
1297,65000
1298,65000
1299,65000
1300,65000
1301,65000
1302,65000
1303,65000
1304,65000
1305,65000
1306,65000
1307,65000
1308,65000
1309,65000
1310,65000
1311,65000
1312,65000
1313,65000
1314,65000
1315,65000
1316,65000
1317,65000
1318,65000
1319,65000
1320,65000
1321,65000
1322,65000
1323,65000
1324,65000
1325,65000
1326,65000
1327,65000
1328,65000
1329,65000
1330,65000
1331,65000
1332,65000
1333,65000
1334,65000
1335,65000
1336,65000
1337,65000
1338,65000
1339,65000
1340,65000
1341,65000
1342,65000
1343,65000
1344,65000
1345,65000
1346,65000
1347,65000
1348,65000
1349,65000
1350,65000
1351,65000
1352,65000
1353,65000
1354,65000
1355,65000
1356,65000
1357,65000
1358,65000
1359,65000
1360,65000
1361,65000
1362,65000
1363,65000
1364,65000
1365,65000
1366,65000
1367,65000
1368,65000
1369,65000
1370,65000
1371,65000
1372,65000
1373,65000
1374,65000
1375,65000
1376,65000
1377,65000
1378,65000
1379,65000
1380,65000
1381,65000
1382,65000
1383,65000
1384,65000
1385,65000
1386,65000
1387,65000
1388,65000
1389,65000
1390,65000
1391,65000
1392,65000
1393,65000
1394,65000
1395,65000
1396,65000
1397,65000
1398,65000
1399,65000
1400,65000
1401,65000
1402,65000
1403,65000
1404,65000
1405,65000
1406,65000
1407,65000
1408,65000
1409,65000
1410,65000
1411,65000
1412,65000
1413,65000
1414,65000
1415,65000
1416,65000
1417,65000
1418,65000
1419,65000
1420,65000
1421,65000
1422,65000
1423,65000
1424,65000
1425,65000
1426,65000
1427,65000
1428,65000
1429,65000
1430,65000
1431,65000
1432,65000
1433,65000
1434,65000
1435,65000
1436,65000
1437,65000
1438,65000
1439,65000
1440,65000
1441,65000
1442,65000
1443,65000
1444,65000
1445,65000
1446,65000
1447,65000
1448,65000
1449,65000
1450,65000
1451,65000
1452,65000
1453,65000
1454,65000
1455,65000
1456,65000
1457,65000
1458,65000
1459,65000
1460,65000
1461,65000
1462,65000
1463,65000
1464,65000
1465,65000
1466,65000
1467,65000
1468,65000
1469,65000
1470,65000
1471,65000
1472,65000
1473,65000
1474,65000
1475,65000
1476,65000
1477,65000
1478,65000
1479,65000
1480,65000
1481,65000
1482,65000
1483,65000
1484,65000
1485,65000
1486,65000
1487,65000
1488,65000
1489,65000
1490,65000
1491,65000
1492,65000
1493,65000
1494,65000
1495,65000
1496,65000
1497,65000
1498,65000
1499,65000
1500,65000
1501,65000
1502,65000
1503,65000
1504,65000
1505,65000
1506,65000
1507,65000
1508,65000
1509,65000
1510,65000
1511,65000
1512,65000
1513,65000
1514,65000
1515,65000
1516,65000
1517,65000
1518,65000
1519,65000
1520,65000
1521,65000
1522,65000
1523,65000
1524,65000
1525,65000
1526,65000
1527,65000
1528,65000
1529,65000
1530,65000
1531,65000
1532,65000
1533,65000
1534,65000
1535,65000
1536,65000
1537,65000
1538,65000
1539,65000
1540,65000
1541,65000
1542,65000
1543,65000
1544,65000
1545,65000
1546,65000
1547,65000
1548,65000
1549,65000
1550,65000
1551,65000
1552,65000
1553,65000
1554,65000
1555,65000
1556,65000
1557,65000
1558,65000
1559,65000
1560,65000
1561,65000
1562,65000
1563,65000
1564,65000
1565,65000
1566,65000
1567,65000
1568,65000
1569,65000
1570,65000
1571,65000
1572,65000
1573,65000
1574,65000
1575,65000
1576,65000
1577,65000
1578,65000
1579,65000
1580,65000
1581,65000
1582,65000
1583,65000
1584,65000
1585,65000
1586,65000
1587,65000
1588,65000
1589,65000
1590,65000
1591,65000
1592,65000
1593,65000
1594,65000
1595,65000
1596,65000
1597,65000
1598,65000
1599,65000
1600,65000
1601,65000
1602,65000
1603,65000
1604,65000
1605,65000
1606,65000
1607,65000
1608,65000
1609,65000
1610,65000
1611,65000
1612,65000
1613,65000
1614,65000
1615,65000
1616,65000
1617,65000
1618,65000
1619,65000
1620,65000
1621,65000
1622,65000
1623,65000
1624,65000
1625,65000
1626,65000
1627,65000
1628,65000
1629,65000
1630,65000
1631,65000
1632,65000
1633,65000
1634,65000
1635,65000
1636,65000
1637,65000
1638,65000
1639,65000
1640,65000
1641,65000
1642,65000
1643,65000
1644,65000
1645,65000
1646,65000
1647,65000
1648,65000
1649,65000
1650,65000
1651,65000
1652,65000
1653,65000
1654,65000
1655,65000
1656,65000
1657,65000
1658,65000
1659,65000
1660,65000
1661,65000
1662,65000
1663,65000
1664,65000
1665,65000
1666,65000
1667,65000
1668,65000
1669,65000
1670,65000
1671,65000
1672,65000
1673,65000
1674,65000
1675,65000
1676,65000
1677,65000
1678,65000
1679,65000
1680,65000
1681,65000
1682,65000
1683,65000
1684,65000
1685,65000
1686,65000
1687,65000
1688,65000
1689,65000
1690,65000
1691,65000
1692,65000
1693,65000
1694,65000
1695,65000
1696,65000
1697,65000
1698,65000
1699,65000
1700,65000
1701,65000
1702,65000
1703,65000
1704,65000
1705,65000
1706,65000
1707,65000
1708,65000
1709,65000
1710,65000
1711,65000
1712,65000
1713,65000
1714,65000
1715,65000
1716,65000
1717,65000
1718,65000
1719,65000
1720,65000
1721,65000
1722,65000
1723,65000
1724,65000
1725,65000
1726,65000
1727,65000
1728,65000
1729,65000
1730,65000
1731,65000
1732,65000
1733,65000
1734,65000
1735,65000
1736,65000
1737,65000
1738,65000
1739,65000
1740,65000
1741,65000
1742,65000
1743,65000
1744,65000
1745,65000
1746,65000
1747,65000
1748,65000
1749,65000
1750,65000
1751,65000
1752,65000
1753,65000
1754,65000
1755,65000
1756,65000
1757,65000
1758,65000
1759,65000
1760,65000
1761,65000
1762,65000
1763,65000
1764,65000
1765,65000
1766,65000
1767,65000
1768,65000
1769,65000
1770,65000
1771,65000
1772,65000
1773,65000
1774,65000
1775,65000
1776,65000
1777,65000
1778,65000
1779,65000
1780,65000
1781,65000
1782,65000
1783,65000
1784,65000
1785,65000
1786,65000
1787,65000
1788,65000
1789,65000
1790,65000
1791,65000
1792,65000
1793,65000
1794,65000
1795,65000
1796,65000
1797,65000
1798,65000
1799,65000
1800,65000
1801,65000
1802,65000
1803,65000
1804,65000
1805,65000
1806,65000
1807,65000
1808,65000
1809,65000
1810,65000
1811,65000
1812,65000
1813,65000
1814,65000
1815,65000
1816,65000
1817,65000
1818,65000
1819,65000
1820,65000
1821,65000
1822,65000
1823,65000
1824,65000
1825,65000
1826,65000
1827,65000
1828,65000
1829,65000
1830,65000
1831,65000
1832,65000
1833,65000
1834,65000
1835,65000
1836,65000
1837,65000
1838,65000
1839,65000
1840,65000
1841,65000
1842,65000
1843,65000
1844,65000
1845,65000
1846,65000
1847,65000
1848,65000
1849,65000
1850,65000
1851,65000
1852,65000
1853,65000
1854,65000
1855,65000
1856,65000
1857,65000
1858,65000
1859,65000
1860,65000
1861,65000
1862,65000
1863,65000
1864,65000
1865,65000
1866,65000
1867,65000
1868,65000
1869,65000
1870,65000
1871,65000
1872,65000
1873,65000
1874,65000
1875,65000
1876,65000
1877,65000
1878,65000
1879,65000
1880,65000
1881,65000
1882,65000
1883,65000
1884,65000
1885,65000
1886,65000
1887,65000
1888,65000
1889,65000
1890,65000
1891,65000
1892,65000
1893,65000
1894,65000
1895,65000
1896,65000
1897,65000
1898,65000
1899,65000
1900,65000
1901,65000
1902,65000
1903,65000
1904,65000
1905,65000
1906,65000
1907,65000
1908,65000
1909,65000
1910,65000
1911,65000
1912,65000
1913,65000
1914,65000
1915,65000
1916,65000
1917,65000
1918,65000
1919,65000
1920,65000
1921,65000
1922,65000
1923,65000
1924,65000
1925,65000
1926,65000
1927,65000
1928,65000
1929,65000
1930,65000
1931,65000
1932,65000
1933,65000
1934,65000
1935,65000
1936,65000
1937,65000
1938,65000
1939,65000
1940,65000
1941,65000
1942,65000
1943,65000
1944,65000
1945,65000
1946,65000
1947,65000
1948,65000
1949,65000
1950,65000
1951,65000
1952,65000
1953,65000
1954,65000
1955,65000
1956,65000
1957,65000
1958,65000
1959,65000
1960,65000
1961,65000
1962,65000
1963,65000
1964,65000
1965,65000
1966,65000
1967,65000
1968,65000
1969,65000
1970,65000
1971,65000
1972,65000
1973,65000
1974,65000
1975,65000
1976,65000
1977,65000
1978,65000
1979,65000
1980,65000
1981,65000
1982,65000
1983,65000
1984,65000
1985,65000
1986,65000
1987,65000
1988,65000
1989,65000
1990,65000
1991,65000
1992,65000
1993,65000
1994,65000
1995,65000
1996,65000
1997,65000
1998,65000
1999,65000
2000,65000
2001,65000
2002,65000
2003,65000
2004,65000
2005,65000
2006,65000
2007,65000
2008,65000
2009,65000
2010,65000
2011,65000
2012,65000
2013,65000
2014,65000
2015,65000
2016,65000
2017,65000
2018,65000
2019,65000
2020,65000
2021,65000
2022,65000
2023,65000
2024,65000
2025,65000
2026,65000
2027,65000
2028,65000
2029,65000
2030,65000
2031,65000
2032,65000
2033,65000
2034,65000
2035,65000
2036,65000
2037,65000
2038,65000
2039,65000
2040,65000
2041,65000
2042,65000
2043,65000
2044,65000
2045,65000
2046,65000
2047,65000
2048,65000
2049,65000
2050,65000
2051,65000
2052,65000
2053,65000
2054,65000
2055,65000
2056,65000
2057,65000
