,0
0,80000
1,80000
2,80000
3,80000
4,65000
5,65000
6,65000
7,80000
8,65000
9,80000
10,65000
11,65000
12,65000
13,65000
14,65000
15,65000
16,65000
17,65000
18,65000
19,65000
20,65000
21,65000
22,65000
23,65000
24,65000
25,65000
26,65000
27,65000
28,80000
29,65000
30,65000
31,65000
32,65000
33,65000
34,65000
35,65000
36,65000
37,65000
38,65000
39,65000
40,65000
41,65000
42,65000
43,65000
44,65000
45,65000
46,80000
47,80000
48,80000
49,80000
50,80000
51,80000
52,80000
53,65000
54,65000
55,65000
56,65000
57,65000
58,65000
59,65000
60,65000
61,65000
62,65000
63,65000
64,65000
65,65000
66,65000
67,65000
68,65000
69,65000
70,65000
71,65000
72,65000
73,65000
74,65000
75,65000
76,65000
77,65000
78,65000
79,65000
80,65000
81,65000
82,65000
83,65000
84,65000
85,65000
86,65000
87,65000
88,65000
89,70000
90,65000
91,65000
92,65000
93,65000
94,65000
95,65000
96,65000
97,65000
98,65000
99,65000
100,65000
101,65000
102,65000
103,65000
104,65000
105,65000
106,65000
107,65000
108,65000
109,65000
110,65000
111,65000
112,65000
113,65000
114,65000
115,65000
116,65000
117,65000
118,65000
119,65000
120,65000
121,65000
122,65000
123,65000
124,65000
125,65000
126,65000
127,65000
128,65000
129,65000
130,65000
131,65000
132,65000
133,65000
134,65000
135,65000
136,65000
137,65000
138,65000
139,65000
140,65000
141,65000
142,65000
143,65000
144,65000
145,65000
146,65000
147,65000
148,65000
149,65000
150,65000
151,65000
152,65000
153,65000
154,65000
155,65000
156,65000
157,65000
158,65000
159,65000
160,65000
161,65000
162,65000
163,65000
164,65000
165,65000
166,65000
167,65000
168,65000
169,65000
170,65000
171,65000
172,65000
173,65000
174,65000
175,65000
176,65000
177,65000
178,65000
179,65000
180,65000
181,65000
182,65000
183,65000
184,65000
185,65000
186,65000
187,65000
188,65000
189,65000
190,65000
191,65000
192,65000
193,65000
194,65000
195,65000
196,65000
197,65000
198,65000
199,65000
200,65000
201,65000
202,65000
203,65000
204,65000
205,65000
206,65000
207,65000
208,65000
209,65000
210,65000
211,65000
212,65000
213,65000
214,65000
215,65000
216,65000
217,65000
218,65000
219,65000
220,65000
221,65000
222,65000
223,65000
224,65000
225,65000
226,65000
227,65000
228,65000
229,65000
230,65000
231,65000
232,65000
233,65000
234,65000
235,65000
236,65000
237,65000
238,65000
239,65000
240,70000
241,65000
242,70000
243,65000
244,65000
245,65000
246,65000
247,65000
248,65000
249,65000
250,65000
251,65000
252,65000
253,65000
254,65000
255,65000
256,65000
257,65000
258,65000
259,65000
260,65000
261,65000
262,65000
263,65000
264,65000
265,65000
266,65000
267,65000
268,65000
269,65000
270,65000
271,65000
272,65000
273,65000
274,65000
275,65000
276,65000
277,65000
278,65000
279,65000
280,65000
281,65000
282,65000
283,65000
284,65000
285,65000
286,65000
287,70000
288,65000
289,65000
290,65000
291,65000
292,65000
293,65000
294,65000
295,65000
296,65000
297,65000
298,65000
299,65000
300,65000
301,65000
302,65000
303,65000
304,65000
305,65000
306,65000
307,65000
308,65000
309,65000
310,65000
311,65000
312,65000
313,65000
314,65000
315,65000
316,65000
317,65000
318,65000
319,65000
320,65000
321,65000
322,65000
323,65000
324,65000
325,65000
326,65000
327,65000
328,65000
329,65000
330,65000
331,65000
332,65000
333,65000
334,65000
335,65000
336,65000
337,65000
338,65000
339,65000
340,65000
341,65000
342,65000
343,65000
344,65000
345,65000
346,65000
347,65000
348,65000
349,65000
350,65000
351,65000
352,65000
353,65000
354,65000
355,65000
356,65000
357,65000
358,65000
359,65000
360,65000
361,65000
362,65000
363,65000
364,65000
365,65000
366,65000
367,65000
368,65000
369,65000
370,65000
371,65000
372,65000
373,65000
374,65000
375,65000
376,65000
377,65000
378,65000
379,65000
380,65000
381,65000
382,65000
383,65000
384,65000
385,65000
386,65000
387,65000
388,65000
389,65000
390,65000
391,65000
392,65000
393,65000
394,65000
395,65000
396,65000
397,70000
398,65000
399,65000
400,65000
401,65000
402,65000
403,65000
404,65000
405,65000
406,65000
407,65000
408,65000
409,65000
410,65000
411,65000
412,65000
413,65000
414,65000
415,65000
416,65000
417,65000
418,65000
419,65000
420,65000
421,65000
422,65000
423,65000
424,65000
425,65000
426,65000
427,65000
428,65000
429,65000
430,65000
431,65000
432,65000
433,65000
434,65000
435,65000
436,65000
437,65000
438,65000
439,65000
440,65000
441,65000
442,70000
443,65000
444,65000
445,65000
446,65000
447,65000
448,65000
449,65000
450,65000
451,65000
452,65000
453,65000
454,65000
455,65000
456,65000
457,65000
458,65000
459,65000
460,65000
461,65000
462,65000
463,65000
464,65000
465,65000
466,65000
467,65000
468,65000
469,65000
470,65000
471,65000
472,65000
473,65000
474,65000
475,65000
476,65000
477,65000
478,65000
479,65000
480,65000
481,65000
482,65000
483,65000
484,65000
